business_id,review_count,stars,name,address,neighborhood,city,state,postal_code,cuisine_type,price,phone ,parking,wifi,payment,restaurant_number
YDf95gJZaq05wvo7hTQbbQ,17,4.5,Pin-Toh thai Caf_,4345 Wellborn Rd,,bryan,TX,77801,thai,$4-$10,(979)485-5550,YES,YES,Visa: Mastercard: Discover: Cash,1
mLwM-h2YhXl2NCgdS84_Bw,4,2,Chick-fil-A,1719 Texas Ave S,,college station,TX,77840,fast food,$2-$8,(979)436-8954,YES,YES,Visa: Cash,2
v2WhjAB3PIBA8J8VxG3wEg,7,4.5,Mad Taco,404 Jane St #400,,college station,TX,77840,tex-mex,$2-$6,(979)679-1780,YES,YES,visa:Discover:Cash,3
2eJEUJIP54tex7T9YOcLSw,19,4.5,Naked Fish,1808 Texas Ave S,,college station,TX,77840,japanese,$4-$9,(979)777-2731,YES,NO,Visa: Mastercard: Discover: Cash,4
fEylCY3UEH8YJ0Xa7lu6lA,16,4,Taz indian Cuisine,2416 Texas Ave,,college station,TX,77840,indian,$4-$15,(979)548-8120,YES,NO,Master:Discover:Cash,5
kFtuYklkAIlmYw8RZAieGw,7,4,Veritas Wine & Bistro,830 University Dr E #400,,college station,TX,77840,french,$4-$10,(979)647-2183,YES,NO,Master:Discover:Visa,6
NqiQdFa93wzUJGo29NbTPQ,8,2,Panda Express,275 Joe Routt Blvd,,college station,TX,77840,fast food,$6-$12,(979)765-8954,YES,YES,Master:Cash,7
N9BN9ldVl1FNzcB9_eAstw,13,3.5,Dixie Chicken,307 University Dr,,college station,TX,77840,american,$4-$12,(979)879-9023,NO,YES,visa:Discover:Cash,8
6s3z3TlpHOIecuSyPEOp7A,7,4.5,The Republic Steakhouse,701 University Dr E #406,,college station,TX,77840,american,$4-$16,(979)834-1275,NO,NO,Master:Cash,9
n33Izvzk_z9_51H6NsQF-A,21,2,Rosie's Pho,"2001 Texas Ave S, Ste 300",,college station,TX,77840,vietnamese,$3-$14,(979)789-4845,YES,NO,Master:Discover:Visa,10
m06OZRFTaKKi6U0omfLq4g,41,5,Kung Fu Tea,723 Texas Ave,,college station,TX,77840,coffee & tea,$2-$8,(979)564-9000,YES,YES,Visa: Mastercard: Discover: Cash,11
SDMRxmcKPNt1AHPBKqO64Q,21,3.5,First Watch,4501 Texas Ave,,bryan,TX,77802,brunch,$4-$14,(979)568-8002,YES,NO,Visa: Mastercard: Discover: Cash,12
iFEiMJoEqyB9O8OUNSdLzA,3,4,Chipotle mexican Grill,1505 University Dr E,,college station,TX,77840,fast food,$4-$16,(979)675-8345,YES,NO,Master:Discover:Visa,13
qrAHt4wWRYWj1sEjxq574A,3,3.5,Shun De Mom Express,2704 Texas Ave Ste 4,,college station,TX,77840,chinese,$5-$10,(979)564-9217,YES,YES,visa:Discover:Cash,14
jqp5TibmgJZVFKHTp3XfqQ,25,4,Choi's Restaurant,311 Dominik Dr,,college station,TX,77840,korean,$4-$12,(979)788-5630,NO,YES,Visa: Mastercard: Discover: Cash,15
1cLXGXThDYZ5WK_KpBLtkw,162,4.5,Amico Nave Ristorante,203 E Villa Maria Rd,,bryan,TX,77801,italian,$2-$15,(979)863-0009,YES,NO,Master:Cash,16
BmSJ6C7Y9s3tHotRetVbmA,3,3,Olive Garden italian Restaurant,510 Earl Rudder Fwy,,college station,TX,77845,italian,$4-$16,(979)728-0702,YES,NO,Master:visa:Cash,17
Av-ODv7-hV12If005Pj6wA,14,3.5,SUBWAY,330 George Bush Dr,,college station,TX,77840,fast food,$2-$12,(979)755-8723,YES,NO,Master:Cash,18
HmI9nhgOkrXlUr6KZGZZew,15,3.5,McDonald's,111 George Bush Dr,,college station,TX,77840,fast food,$1-$15,(979)999-7274,YES,YES,Master:Discover:Visa,19
qnpvw-uQyRn9nlClWFK9aA,6,3,Starbucks,125 Spence St,,college station,TX,77840,coffee & tea,$4-$20,(979)895-9892,YES,YES,Visa: Mastercard: Discover: Cash,20
igcy3ojJbgbpS8K70gvFQg,33,2.5,Chick-fil-A,"Agronomy Rd, Ag caf_",,college station,TX,77840,fast food,$3-$10,(979)006-9578,NO,NO,Master:visa:Cash,21
5Ghe0btvM7tXqANnhNB5eg,8,3,Chef Cao,404 University Dr,,college station,TX,77840,chinese,$4-$8,(979)987-7562,NO,YES,Master:Discover:Visa,22
vvB8ebrUsjfNqwWjk4G4OQ,14,4,Paolo's italian Kitchen,809 University Dr E,,college station,TX,77840,italian,$4-$15,(979)573-9081,NO,NO,Master:visa:Cash,23
l9ABoPi9j_pH9588tk0-6w,8,5,Caf_ Eccell,4401 Texas Ave,,college station,TX,77840,coffee & tea,$4-$8,(979)785-6752,YES,NO,Master:Discover:Visa,24
eW9vw2fE_6EuTWErZRo3mQ,3,3.5,Abuelo's mexican Restaurant,840 University Dr E,,college station,TX,77840,mexican,$4-$14,(979)780-4672,YES,YES,Visa: Mastercard: Discover: Cash,25
ZFGYEsHFo6G4KtlTpYmMRQ,10,3.5,Wings 'N More,1511 University Dr E,,college station,TX,77840,american,$6-$15,(979)450-4523,YES,NO,Visa: Mastercard: Discover: Cash,26
ATsUb_sLzDSZkIoBdoO_mg,11,3.5,Ninfa's mexican Restaurant,1007 Earl Rudder Fwy,,college station,TX,77845,mexican,$6-$15,(979)202-5687,YES,YES,Visa: Mastercard: Discover: Cash,27
#NAME?,18,2.5,Buffalo Wild Wings,903 University Dr E,,college station,TX,77840,american,$6-$12,(979)870-1240,YES,YES,Discover:Master:cash,28
TXiEgINSZ75d3EtvLvkc4Q,45,3,Blue Baker,800 University Dr E #100,,college station,TX,77840,Bakery,$4-$8,(979)789-4530,YES,NO,Master:visa:Cash,29
KW4y7uDGjVfU3ClkEjIGhg,41,3,Cenare,404 University Dr E,,college station,TX,77840,italian,$4-$14,(979)689-0850,NO,NO,Visa: Mastercard: Discover: Cash,30
s_6WYPw3t50el2fSuh9k8w,9,4.5,Fazoli's,400 Harvey Rd,,college station,TX,77840,italian,$6-$12,(979)860-1275,YES,YES,Visa:Discover:Cash,31
reWc1g65PNZnKz_Ub9QKOQ,51,2.5,Johnny Carino's,620 Harvey Rd,,college station,TX,77840,italian,$4-$12,(979)657-7721,NO,YES,Visa: Mastercard: Discover: Cash,32
L1XHTn7S-6har9UGAPjcWQ,4,4,Chuy's,1512 Harvey Rd,,college station,TX,77840,tex-mex,$2-$8,(979)097-7273,YES,YES,Discover:Master:cash,33
PV9CdNFDOX4_zWm3Sy3W8g,117,3,Casa Ole,1500 Harvey Rd,,college station,TX,77840,italian,$4-$9,(979)785-5243,YES,YES,Discover:Master:cash,34
8E5l83iGubQmtivb24TL_Q,25,3,Garpez,2601 Harvey Rd,,college station,TX,77845,mexican,$4-$6,(979)700-6166,YES,NO,Visa:Cash,35
qim0lD112TkDhm8ZyQlRnA,5,2,Starbucks,1501 University Dr E,,college station,TX,77840,coffee & tea,$6-$16,(979)888-5893,YES,NO,Visa:Cash,36
